FID,STATEFP10,COUNTYFP10,COUNTYNS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CSAFP10,CBSAFP10,METDIVFP10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
5,13,113,01687740,13113,Fayette,Fayette County,06,H1,G4020,122,12060, ,A,503344101.000000000000000,12896707.000000000000000,+33.4127172,-084.4939407
19,13,045,00326650,13045,Carroll,Carroll County,06,H1,G4020,122,12060, ,A,1292600278.000000000000000,12327627.000000000000000,+33.5822366,-085.0805272
20,13,247,00357592,13247,Rockdale,Rockdale County,06,H1,G4020,122,12060, ,A,336161686.000000000000000,5969943.000000000000000,+33.6520811,-084.0263696
23,13,067,01686112,13067,Cobb,Cobb County,06,H1,G4020,122,12060, ,A,879428364.000000000000000,12868473.000000000000000,+33.9399400,-084.5741657
25,13,117,01673358,13117,Forsyth,Forsyth County,06,H1,G4020,122,12060, ,A,580210822.000000000000000,59946531.000000000000000,+34.2251430,-084.1273355
32,13,063,01672399,13063,Clayton,Clayton County,06,H1,G4020,122,12060, ,A,366664243.000000000000000,7152613.000000000000000,+33.5522424,-084.4129771
41,13,151,01671894,13151,Henry,Henry County,06,H1,G4020,122,12060, ,A,834304554.000000000000000,11447521.000000000000000,+33.4528811,-084.1544404
58,13,015,00351604,13015,Bartow,Bartow County,06,H1,G4020,122,12060, ,A,1190213681.000000000000000,27373871.000000000000000,+34.2409175,-084.8381879
68,13,199,00346892,13199,Meriwether,Meriwether County,06,H1,G4020,122,12060, ,A,1298161653.000000000000000,10834104.000000000000000,+33.0302196,-084.6632794
69,13,217,01673547,13217,Newton,Newton County,06,H1,G4020,122,12060, ,A,704894510.000000000000000,18224766.000000000000000,+33.5440455,-083.8551891
71,13,135,01688166,13135,Gwinnett,Gwinnett County,06,H1,G4020,122,12060, ,A,1114687261.000000000000000,16555611.000000000000000,+33.9591011,-084.0229381
89,13,121,01694833,13121,Fulton,Fulton County,06,H1,G4020,122,12060, ,A,1363977166.000000000000000,19917366.000000000000000,+33.7900338,-084.4681816
96,13,227,01673011,13227,Pickens,Pickens County,06,H1,G4020,122,12060, ,A,601025731.000000000000000,1695924.000000000000000,+34.4566206,-084.4902556
100,13,139,01686953,13139,Hall,Hall County,06,H1,G4020,122,23580, ,A,1017300166.000000000000000,94568081.000000000000000,+34.3175876,-083.8184973
105,13,255,00353055,13255,Spalding,Spalding County,06,H1,G4020,122,12060, ,A,508851760.000000000000000,8084983.000000000000000,+33.2623888,-084.2860671
119,13,097,01686467,13097,Douglas,Douglas County,06,H1,G4020,122,12060, ,A,518170971.000000000000000,2484238.000000000000000,+33.6993166,-084.7659441
120,13,077,00326666,13077,Coweta,Coweta County,06,H1,G4020,122,12060, ,A,1141905439.000000000000000,12754711.000000000000000,+33.3528965,-084.7621381
127,13,035,00352295,13035,Butts,Butts County,06,H1,G4020,122,12060, ,A,477576117.000000000000000,9448312.000000000000000,+33.2903551,-083.9582206
128,13,159,00346144,13159,Jasper,Jasper County,06,H1,G4020,122,12060, ,A,953542690.000000000000000,13725963.000000000000000,+33.3149051,-083.6878919
137,13,089,01687424,13089,DeKalb,DeKalb County,06,H1,G4020,122,12060, ,A,693033963.000000000000000,9220158.000000000000000,+33.7706611,-084.2263431
145,13,057,01685718,13057,Cherokee,Cherokee County,06,H1,G4020,122,12060, ,A,1092129613.000000000000000,32974694.000000000000000,+34.2443166,-084.4750574
148,13,297,00351264,13297,Walton,Walton County,06,H1,G4020,122,12060, ,A,843508113.000000000000000,11187622.000000000000000,+33.7826485,-083.7342152
149,13,231,00346482,13231,Pike,Pike County,06,H1,G4020,122,12060, ,A,559659405.000000000000000,8596833.000000000000000,+33.0907685,-084.3866265
153,13,223,00349912,13223,Paulding,Paulding County,06,H1,G4020,122,12060, ,A,808643215.000000000000000,5498097.000000000000000,+33.9209028,-084.8669788
