GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHHA,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CDA,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,ANPSADPI,ET2001,ET2002,ET2003,ET2004,ET2005,ET2006,ET2007,ET2008,ET2009,ET2010,ESN001,ESN002,ES1001,ES1002,ETQ001,ETQ002,ETQ003,ETQ004,ETQ005,ETQ006
"G130001095011","1990",,,,,,,"1","9501",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",883,43,1,0,0,0,0,0,1,2,362,98,315,47,6,4,0,71,0,17
"G130001095012","1990",,,,,,,"2","9501",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",1381,90,1,0,0,3,0,0,0,6,551,107,461,90,29,4,4,41,0,29
"G130001095021","1990",,,,,,,"1","9502",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",1025,700,1,0,3,17,1,0,0,12,600,80,492,108,25,5,3,6,2,39
"G130001095022","1990",,,,,,,"2","9502",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",561,580,4,0,0,4,0,0,0,0,405,80,270,135,31,5,1,17,0,26
"G130001095023","1990",,,,,,,"3","9502",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",474,798,4,6,0,1,0,0,0,2,441,65,309,132,25,9,0,6,0,25
"G130001095031","1990",,,,,,,"1","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",903,150,0,0,0,16,0,0,0,11,424,75,178,246,43,9,11,1,1,10
"G130001095032","1990",,,,,,,"2","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",1187,2,0,0,0,6,0,0,0,1,449,36,359,90,13,8,0,2,0,13
"G130001095033","1990",,,,,,,"3","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",866,65,0,10,0,3,0,0,0,4,390,48,272,118,23,14,1,1,1,8
"G130001095034","1990",,,,,,,"4","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 4",1064,295,2,16,0,7,0,0,3,4,517,35,403,114,11,7,0,1,0,16
"G130001095041","1990",,,,,,,"1","9504",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",423,267,2,0,0,1,1,0,0,0,254,15,210,44,0,1,2,5,0,7
"G130001095042","1990",,,,,,,"2","9504",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",511,17,0,0,0,0,0,0,0,9,200,18,180,20,1,0,2,5,0,10
