GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHHA,RES_TRSTA,BLCK_GRPA,TRACTA,CDA,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E4T001,E4T002,E4T003,E4T004,E4T005,E4T006,E4T007,E4T008,E4T009,E4T010,E4T011,E4T012,E4T013,E4T014,E4T015,E4T016,E4T017,E4T018,E4T019,E4T020,E4T021,E4T022,E4T023,E4T024,E4T025
"G130001095011","1990",,,,,,"1","9501",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",41,32,16,14,17,16,7,10,28,0,18,17,14,16,8,5,21,0,31,0,30,6,0,0,0
"G130001095012","1990",,,,,,"2","9501",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",39,27,26,16,21,27,6,26,39,54,35,21,15,16,11,16,11,9,35,5,20,11,0,0,0
"G130001095021","1990",,,,,,"1","9502",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",57,78,64,25,24,27,35,30,49,16,41,7,8,26,25,15,14,17,22,16,43,0,0,0,0
"G130001095022","1990",,,,,,"2","9502",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",71,71,28,8,7,24,4,7,44,27,19,11,18,12,10,5,5,10,5,0,20,6,0,0,0
"G130001095023","1990",,,,,,"3","9502",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",81,78,43,41,31,0,42,24,24,22,0,6,5,0,28,0,0,0,28,0,17,6,0,0,0
"G130001095031","1990",,,,,,"1","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",57,91,25,37,16,30,28,11,26,7,21,0,12,13,0,7,0,0,6,0,12,0,10,0,0
"G130001095032","1990",,,,,,"2","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",37,86,30,36,28,19,21,26,13,8,38,17,20,8,7,12,4,5,0,11,26,13,7,5,7
"G130001095033","1990",,,,,,"3","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",52,21,7,20,6,16,13,0,31,0,6,0,45,15,14,0,26,6,13,0,41,14,5,0,6
"G130001095034","1990",,,,,,"4","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",87,48,12,14,8,47,31,54,10,18,28,7,37,6,14,0,6,6,16,7,29,24,0,5,0
"G130001095041","1990",,,,,,"1","9504",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",31,62,4,17,13,12,10,11,6,2,13,7,8,1,3,6,1,0,8,5,11,0,0,0,7
"G130001095042","1990",,,,,,"2","9504",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",15,56,10,0,7,0,7,7,8,12,0,7,16,0,0,7,0,0,14,0,24,17,5,0,0
"G130001095043","1990",,,,,,"3","9504",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",0,32,13,0,14,25,8,11,0,9,0,0,6,0,8,5,0,7,13,0,9,0,0,0,0
"G130001095051","1990",,,,,,"1","9505",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",38,24,41,49,33,0,22,29,20,26,14,0,9,0,6,0,7,7,6,0,7,11,0,0,0
"G130001095052","1990",,,,,,"2","9505",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",32,18,7,14,17,22,43,45,26,13,32,0,13,8,8,29,0,0,7,0,3,0,0,0,0
"G130001095053","1990",,,,,,"3","9505",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",37,31,24,12,41,8,7,34,14,0,22,19,24,16,21,7,20,6,19,7,5,0,0,0,0
"G130003096011","1990",,,,,,"1","9601",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",35,41,15,34,22,11,5,6,16,8,18,0,5,19,12,0,17,0,18,0,4,2,2,0,0
"G130003096012","1990",,,,,,"2","9601",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",64,69,27,16,16,15,11,25,7,9,7,2,13,6,12,8,5,2,5,4,11,5,0,0,0
"G130003096021","1990",,,,,,"1","9602",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",38,75,31,55,4,24,47,24,21,13,8,16,8,7,2,1,11,2,21,16,15,7,0,0,0
"G130003096022","1990",,,,,,"2","9602",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",56,72,24,16,22,18,48,28,17,24,13,19,2,0,7,4,3,4,10,8,2,5,4,2,0
"G130003096023","1990",,,,,,"3","9602",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",96,65,35,23,28,6,32,22,7,5,14,11,14,10,8,6,4,6,18,6,4,11,0,0,0
"G130003096031","1990",,,,,,"1","9603",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",55,56,7,0,15,41,27,33,6,13,18,16,0,0,0,0,2,7,6,0,18,0,7,0,0
"G130005097011","1990",,,,,,"1","9701",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",25,42,6,22,13,31,22,5,9,13,48,0,12,6,10,0,8,0,12,6,0,14,8,0,0
"G130005097012","1990",,,,,,"2","9701",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",10,37,7,12,16,11,28,16,14,6,8,6,7,0,0,0,0,0,8,0,20,7,0,0,0
"G130005097013","1990",,,,,,"3","9701",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",48,17,10,14,18,16,40,23,6,7,23,7,7,12,12,6,0,5,16,12,6,7,6,0,0
"G130005097021","1990",,,,,,"1","9702",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",55,49,40,28,0,26,0,13,0,22,25,16,6,17,26,0,0,0,13,17,13,14,8,0,8
"G130005097022","1990",,,,,,"2","9702",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",54,44,26,33,59,6,7,21,30,23,32,43,25,10,16,0,0,0,52,28,30,9,17,0,0
"G130005097023","1990",,,,,,"3","9702",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",72,93,80,35,43,21,40,27,10,37,29,31,7,20,17,18,0,7,0,29,29,0,0,0,9
"G130005097024","1990",,,,,,"4","9702",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",35,66,40,20,0,23,10,18,9,0,0,18,6,6,15,0,10,0,0,0,12,9,0,0,0
"G130005097025","1990",,,,,,"5","9702",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 5",174,161,39,31,24,12,24,14,24,34,0,6,0,14,9,18,0,15,16,7,8,0,0,0,0
"G130007096011","1990",,,,,,"1","9601",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",32,64,24,22,34,28,26,2,27,11,8,2,6,0,24,11,20,8,2,10,9,9,3,0,0
"G130007096012","1990",,,,,,"2","9601",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",75,34,18,10,52,2,33,8,28,14,10,12,18,17,4,0,0,22,5,0,2,2,0,6,0
"G13000709602981","1990",,,,,,"1","960298",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",32,54,4,20,9,6,14,6,20,0,12,0,7,6,9,5,5,8,10,0,15,0,5,0,6
"G13000709602982","1990",,,,,,"2","960298",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",24,43,11,47,16,55,5,17,0,5,10,13,26,0,8,8,7,0,0,13,7,0,0,0,0
"G13000709603971","1990",,,,,,"1","960397",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G13000709603972","1990",,,,,,"2","960397",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G13000709603981","1990",,,,,,"1","960398",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G130009097011","1990",,,,,,"1","9701",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",12,23,16,0,0,32,23,17,22,6,6,18,8,24,16,14,0,12,57,0,21,0,2,0,5
"G130009097012","1990",,,,,,"2","9701",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",7,36,31,15,17,19,16,6,5,8,12,24,7,13,6,10,16,0,2,21,5,0,5,0,0
"G130009097013","1990",,,,,,"3","9701",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",0,60,12,17,21,10,22,25,13,25,7,18,35,4,22,0,0,16,26,27,17,29,0,0,3
"G130009097021","1990",,,,,,"1","9702",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",50,28,25,19,27,27,29,18,19,8,27,0,20,0,0,29,7,8,38,0,35,9,0,0,0
"G130009097022","1990",,,,,,"2","9702",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",0,17,7,9,15,9,9,19,11,0,23,37,49,25,0,18,0,9,18,0,34,32,22,20,0
"G130009097023","1990",,,,,,"3","9702",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",59,8,18,37,14,21,17,34,0,33,69,14,6,17,9,15,38,8,24,21,14,54,16,0,9
"G130009097024","1990",,,,,,"4","9702",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",102,69,9,16,22,20,10,0,21,0,0,13,0,0,0,9,0,0,0,0,0,12,0,0,0
"G130009097025","1990",,,,,,"5","9702",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 5",64,48,33,9,8,16,10,7,0,0,7,15,0,14,0,8,23,0,15,9,8,5,0,0,0
"G130009097031","1990",,,,,,"1","9703",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",39,15,11,0,0,6,10,0,0,16,7,8,38,12,0,9,21,20,69,14,40,8,14,0,9
"G130009097032","1990",,,,,,"2","9703",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",39,25,10,14,26,31,15,0,20,29,34,16,15,14,14,47,24,19,35,36,83,77,12,22,22
"G130009097041","1990",,,,,,"1","9704",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",15,0,11,11,11,16,9,0,51,6,17,20,7,30,8,36,0,9,36,13,18,34,7,7,0
"G130009097042","1990",,,,,,"2","9704",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",22,13,11,11,13,12,5,4,16,15,8,8,19,18,7,28,18,5,27,31,17,10,20,11,4
"G130009097043","1990",,,,,,"3","9704",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",53,56,31,8,45,49,28,0,21,9,22,8,7,0,0,9,0,7,0,7,15,19,6,7,0
"G130009097044","1990",,,,,,"4","9704",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",42,41,14,9,13,6,10,11,13,10,0,5,17,0,0,4,0,7,6,0,5,0,0,0,0
"G130009097045","1990",,,,,,"5","9704",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 5",51,51,47,43,24,13,18,0,14,7,0,6,5,0,0,0,6,8,25,0,14,7,0,0,5
"G130009097051","1990",,,,,,"1","9705",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",75,72,28,35,21,24,33,31,17,7,7,0,0,10,0,8,15,0,41,0,13,16,0,0,0
"G130009097052","1990",,,,,,"2","9705",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",81,71,18,12,27,46,34,11,27,15,14,10,0,0,0,12,8,0,19,23,0,0,0,0,8
"G130009097053","1990",,,,,,"3","9705",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",22,53,0,0,14,21,4,12,7,21,37,6,11,33,20,3,11,7,0,26,24,16,0,0,8
"G130009097061","1990",,,,,,"1","9706",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",33,34,25,34,34,24,42,11,34,32,7,24,35,5,17,8,43,8,14,7,6,10,0,0,0
"G130009097062","1990",,,,,,"2","9706",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",4,31,23,18,35,30,17,27,9,19,24,0,50,50,0,0,19,19,0,16,37,11,0,0,15
"G130009097063","1990",,,,,,"3","9706",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",35,47,18,24,14,39,11,37,9,5,28,11,15,14,0,0,0,0,0,0,8,0,0,0,0
"G130009097064","1990",,,,,,"4","9706",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",36,116,22,19,27,50,36,6,55,17,28,18,6,6,36,0,0,19,0,0,7,16,0,0,0
"G130009097071","1990",,,,,,"1","9707",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",23,62,21,22,16,0,12,33,10,0,26,0,0,14,29,0,0,0,0,0,0,9,0,0,0
"G130009097072","1990",,,,,,"2","9707",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",27,60,43,18,41,46,27,0,21,6,6,21,38,6,11,27,6,10,21,10,0,12,0,0,0
"G130009097073","1990",,,,,,"3","9707",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",31,78,26,29,38,0,9,0,28,0,39,10,10,9,8,0,0,0,0,0,15,0,10,0,6
"G130009097074","1990",,,,,,"4","9707",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",132,29,5,41,20,13,14,12,9,10,9,6,22,21,16,0,0,0,7,0,18,0,0,0,0
"G130009097075","1990",,,,,,"5","9707",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 5",0,21,29,21,21,14,14,15,23,23,8,14,16,12,0,9,17,0,0,24,5,0,16,0,9
"G130009097081","1990",,,,,,"1","9708",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",21,24,0,16,68,18,39,48,16,17,25,31,8,17,24,8,0,7,30,0,23,0,0,0,0
"G130009097082","1990",,,,,,"2","9708",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",11,41,6,32,12,5,25,26,40,14,33,6,31,19,6,5,20,13,18,19,17,6,0,0,0
"G130009097083","1990",,,,,,"3","9708",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",43,23,13,6,33,15,20,0,14,8,26,6,16,6,20,20,8,13,20,23,24,5,0,0,0
"G130009097084","1990",,,,,,"4","9708",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",21,35,40,11,7,0,41,5,20,29,41,21,29,7,6,6,7,7,0,17,18,6,0,0,6
"G130011098011","1990",,,,,,"1","9801",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",47,38,45,28,47,25,31,31,11,46,16,33,21,26,24,17,17,4,29,16,61,21,3,2,0
"G130011098012","1990",,,,,,"2","9801",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",67,44,25,22,45,27,26,14,34,17,46,25,7,19,28,19,24,7,10,9,17,9,0,0,11
"G130011098021","1990",,,,,,"1","9802",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",28,54,38,23,52,30,52,30,32,18,19,25,9,3,25,13,24,2,21,0,20,9,2,2,0
