GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHHA,RES_TRSTA,BLCK_GRPA,TRACTA,CDA,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E1A001,E1A002,E1A003,E1A004,E1A005,E1A006,E1A007,E1A008,E1A009,E1A010
"G130001095011","1990",,,,,,"1","9501",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",914,28,0,0,0,0,0,0,0,0
"G130001095012","1990",,,,,,"2","9501",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",1309,94,0,0,0,0,0,0,0,34
"G130001095021","1990",,,,,,"1","9502",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1047,708,0,0,0,0,0,0,0,0
"G130001095022","1990",,,,,,"2","9502",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",540,684,21,0,0,0,0,0,0,0
"G130001095023","1990",,,,,,"3","9502",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",471,821,0,0,0,0,0,0,0,0
"G130001095031","1990",,,,,,"1","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1011,127,0,0,0,0,0,0,0,0
"G130001095032","1990",,,,,,"2","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",1152,0,0,0,0,10,0,0,0,8
"G130001095033","1990",,,,,,"3","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",837,29,0,0,0,0,0,0,0,0
"G130001095034","1990",,,,,,"4","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",1029,329,20,0,0,0,0,0,0,0
"G130001095041","1990",,,,,,"1","9504",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",473,205,0,0,0,0,0,0,0,0
