"","year","shed","class10","total","black","white","n"
"1",1990,"huc10","9",657352.6846,435665.6111,202482.9651,2
"2",1990,"huc10","2",1490020.6687,100103.8508,1334929.276,26
"3",1990,"huc10","8",864191.8238,211380.8843,610558.1586,13
"4",1990,"huc12","3",321306.4088,280970.4495,35004.9823,5
"5",1990,"huc12","9",376281.235,224839.0728,137558.4986,8
"6",1990,"huc12","2",1800057.5639,123580.9261,1613521.2752,184
"7",1990,"huc12","8",513925.6435,117761.9614,361888.5752,35
"8",1990,"local","3",162894.2987,151524.755,10058.8668,1
"9",1990,"local","9",401613.1442,271617.1137,115583.4429,1
"10",1990,"local","8",199627.8461,64666.5859,126188.4741,1
"11",2000,"huc10","9",999919.6028,685734.6794,226477.4104,3
"12",2000,"huc10","2",736166.5508,48311.3801,635167.0062,17
"13",2000,"huc10","8",2459036.8081,444304.6175,1656213.1638,21
"14",2000,"huc12","3",386385.4091,331988.7532,35329.7046,6
"15",2000,"huc12","9",546338.9996,386998.4815,104112.2479,9
"16",2000,"huc12","2",1061941.735,60117.7821,936693.0268,138
"17",2000,"huc12","8",2135096.1719,385662.9693,1415380.1346,78
"18",2000,"huc12","14",65363.9181,13585.2969,26342.4914,1
"19",2000,"local","3",165480.8745,152728.6363,6777.6018,1
"20",2000,"local","9",713172.0713,499232.5265,150521.6205,2
"21",2010,"huc10","9",1426432.8069,925650.4113,330983.0159,6
"22",2010,"huc10","2",149436.8945,4585.7802,131369.2863,8
"23",2010,"huc10","8",3188257.0513,596514.1812,1995084.6341,26
"24",2010,"huc10","14",458814.1614,129153.1279,158654.199,1
"25",2010,"huc12","3",439444.0134,373975.8707,30131.9841,7
"26",2010,"huc12","9",962923.6957,614657.7427,213958.9399,22
"27",2010,"huc12","2",605681.7017,36585.6361,515727.3094,88
"28",2010,"huc12","8",2834419.0509,542271.8807,1739858.9289,107
"29",2010,"huc12","14",339947.593,85298.4669,101824.3718,5
"30",2010,"huc12","13",40523.8856,3110.9183,14591.5365,3
"31",2010,"local","3",144441.4582,127674.3348,8342.3221,1
"32",2010,"local","9",725039.8009,528570.7676,115010.8838,2
"33",2020,"huc10","9",1881281.4079,1194069.8817,392182.2259,8
"34",2020,"huc10","2",131790.4395,3508.8213,110343.4588,7
"35",2020,"huc10","8",3502708.564,641106.3033,1967255.0624,25
"36",2020,"huc10","14",525257.5666,156297.0509,129134.3031,1
"37",2020,"huc12","3",367034.2127,316721.5346,17719.1834,7
"38",2020,"huc12","9",1533762.7316,950267.0221,312556.2382,33
"39",2020,"huc12","2",237532.5557,9604.125,199753.183,56
"40",2020,"huc12","8",2794018.0359,466013.2462,1708249.9745,119
"41",2020,"huc12","14",1063309.4538,248875.413,345582.038,14
"42",2020,"huc12","13",45381.6167,3501.7696,15054.5804,3
"43",2020,"local","3",151852.4446,126810.7887,11768.9384,1
"44",2020,"local","9",802821.5474,565122.1551,119385.6038,2
